lat,lon,tree_cover_2000_pct,elevation_m,slope_deg,dist_to_road_km,dist_to_deforestation_frontier_km,protected_area,population_density_per_km2,annual_loss_rate_pct,exg_change_2018_2019,high_risk,loss_year
7.5,124.54,89.2,0.0,0.0,0.43,9.88,0,47.9,0.16,0.0502,0,0
7.5,124.65999999999995,79.0,0.0,0.0,3.02,6.26,0,37.0,0.16,0.372,0,0
7.5,124.79999999999994,58.4,0.0,0.0,2.34,19.97,0,39.6,0.16,0.1675,0,0
7.5,124.81999999999994,90.5,0.0,0.0,0.52,17.78,0,47.5,0.16,0.3383,0,0
7.5,124.85999999999991,87.7,0.0,0.0,1.89,13.41,0,41.4,0.16,0.4069,0,0
7.5,124.93999999999993,61.8,0.0,0.0,0.84,4.94,0,46.0,0.16,0.491,0,0
7.5,124.9799999999999,93.7,0.0,0.0,1.22,2.22,0,44.3,0.16,0.6252,0,0
7.5,125.05999999999987,90.9,0.0,0.0,0.66,6.26,0,46.8,0.16,0.2671,0,0
7.5,125.07999999999988,93.5,0.0,0.0,2.11,7.97,0,40.5,0.16,0.3946,0,0
7.5,125.17999999999986,75.6,0.0,0.0,1.62,11.25,0,42.5,0.16,0.2139,0,0
7.5,125.21999999999986,79.2,0.0,0.0,0.55,6.98,0,47.3,0.16,0.6884,0,0
7.5,125.23999999999984,66.8,0.0,0.0,0.5,4.94,0,47.6,0.16,0.2273,0,0
7.5,125.25999999999983,74.6,0.0,0.0,0.77,3.13,0,46.3,0.16,0.1162,0,0
7.5,125.29999999999984,86.1,0.0,0.0,3.35,3.13,0,35.8,0.16,0.404,0,0
7.5,125.31999999999984,62.2,0.0,0.0,4.42,3.13,0,32.1,0.16,0.1401,0,0
7.5,125.33999999999985,72.9,0.0,0.0,5.14,2.22,0,29.9,0.16,0.2611,0,0
7.5,125.35999999999984,77.7,0.0,0.0,6.56,3.13,0,25.9,0.16,0.169,0,0
7.5,125.37999999999982,51.1,0.0,0.0,8.16,4.94,0,22.1,0.16,0.5796,0,0
7.5,125.39999999999982,83.8,0.0,0.0,6.01,4.94,0,27.4,0.16,0.4627,0,0
7.5,125.4399999999998,80.6,0.0,0.0,2.08,2.22,0,40.6,0.16,0.1472,0,0
7.5,125.4599999999998,46.4,0.0,0.0,0.43,3.13,0,47.9,0.16,0.4404,0,0
7.5,125.4799999999998,63.8,0.0,0.0,2.16,4.94,0,40.3,0.16,0.3196,0,0
7.52,124.52,89.2,0.0,0.0,0.93,11.25,0,45.6,0.16,0.183,0,0
7.52,124.56,94.7,0.0,0.0,0.85,6.98,0,45.9,0.16,0.2401,0,0
7.52,124.67999999999996,54.3,0.0,0.0,1.05,6.98,0,45.0,0.16,0.1446,0,0
7.52,124.89999999999992,84.6,0.0,0.0,0.6,8.82,0,47.1,0.16,0.5701,0,0
7.52,124.93999999999993,91.7,0.0,0.0,1.16,4.41,0,44.5,0.16,0.3125,0,0
7.52,124.95999999999992,93.7,0.0,0.0,0.69,2.2,0,46.7,0.16,0.1814,0,0
7.52,124.9799999999999,70.0,0.0,0.0,1.14,0.0,0,44.6,0.65,0.4016,0,10
7.52,125.07999999999988,57.0,0.0,0.0,1.24,6.98,0,44.2,0.16,0.0802,0,0
7.52,125.09999999999988,75.8,0.0,0.0,1.86,9.09,0,41.5,0.16,0.3213,0,0
7.52,125.15999999999988,75.6,0.0,0.0,0.83,13.23,0,46.0,0.16,0.2275,0,0
7.52,125.27999999999984,70.0,0.0,0.0,1.1,0.0,0,44.8,0.65,0.2826,0,8
7.52,125.29999999999984,62.2,0.0,0.0,2.79,2.2,0,37.8,0.16,0.062,0,0
7.52,125.33999999999985,70.0,0.0,0.0,3.44,0.0,0,35.4,0.65,0.278,0,16
7.52,125.35999999999984,51.1,0.0,0.0,5.33,2.2,0,29.3,0.16,0.4731,0,0
7.52,125.37999999999982,83.8,0.0,0.0,6.67,4.41,0,25.7,0.16,0.5738,0,0
7.52,125.39999999999982,74.3,0.0,0.0,5.51,4.41,0,28.8,0.16,0.4026,0,0
7.52,125.4399999999998,46.4,0.0,0.0,1.55,0.0,0,42.8,0.65,0.179,0,17
7.52,125.4599999999998,63.8,0.0,0.0,0.97,2.2,0,45.4,0.16,0.0783,0,0
7.52,125.4799999999998,64.0,0.0,0.0,2.08,4.41,0,40.6,0.16,0.5292,0,0
7.539999999999999,124.5,89.2,0.0,0.0,3.31,13.23,0,35.9,0.16,0.805,0,0
7.539999999999999,124.54,70.2,0.0,0.0,1.4,8.82,0,43.5,0.16,0.149,0,0
7.539999999999999,124.56,51.5,0.0,0.0,2.56,6.61,0,38.7,0.16,0.5706,0,0
