lat,lon,tree_cover_2000_pct,elevation_m,slope_deg,dist_to_road_km,dist_to_deforestation_frontier_km,protected_area,population_density_per_km2,annual_loss_rate_pct,exg_change_2018_2019,high_risk,loss_year
8.5,117.22,51.2,0.0,0.0,157.35,6.26,0,0.0,0.38,0.4441,0,0
8.5,117.24,53.0,0.0,0.0,155.8,4.96,0,0.0,0.38,0.4505,0,0
8.5,117.26,81.9,0.0,0.0,154.26,4.4,0,0.0,0.38,1.5391,0,0
8.5,117.28,72.5,0.0,0.0,152.74,2.2,0,0.0,0.38,0.5961,0,0
8.5,117.29999999999998,70.0,0.0,0.0,151.23,0.0,0,0.0,1.54,0.1154,0,16
8.5,117.33999999999996,90.0,0.0,0.0,148.27,3.13,0,0.0,0.38,0.2274,0,0
8.5,117.35999999999996,93.2,0.0,0.0,146.82,4.93,0,0.0,0.38,0.1653,0,0
8.5,117.39999999999996,78.2,0.0,0.0,143.97,4.93,0,0.0,0.38,0.5281,0,0
8.5,117.41999999999996,79.9,0.0,0.0,142.58,3.13,0,0.0,0.38,0.3432,0,0
8.52,117.22,53.0,0.0,0.0,155.79,4.93,0,0.0,0.38,0.4455,0,0
8.52,117.24,81.9,0.0,0.0,154.23,3.13,0,0.0,0.38,0.3771,0,0
8.52,117.26,67.8,0.0,0.0,152.67,2.22,0,0.0,0.38,0.3409,0,0
8.52,117.29999999999998,84.4,0.0,0.0,149.61,2.2,0,0.0,0.38,0.3283,0,0
8.52,117.31999999999998,70.0,0.0,0.0,148.11,0.0,0,0.0,1.54,0.4885,1,20
8.52,117.33999999999996,93.2,0.0,0.0,146.62,2.2,0,0.0,0.38,0.696,0,0
8.52,117.37999999999997,78.2,0.0,0.0,143.7,2.22,0,0.0,0.38,0.3843,0,0
8.52,117.41999999999996,66.5,0.0,0.0,140.86,2.2,0,0.0,0.38,0.3829,0,0
8.52,117.43999999999996,70.0,0.0,0.0,139.46,0.0,0,0.0,1.54,0.0988,0,10
8.52,117.45999999999997,94.4,0.0,0.0,138.09,2.2,0,0.0,0.38,0.556,0,0
8.52,117.49999999999994,70.0,0.0,0.0,135.42,0.0,0,0.0,1.54,0.1537,0,14
8.54,117.26,70.0,0.0,0.0,151.1,0.0,0,0.0,1.54,0.1578,0,16
8.54,117.28,70.0,0.0,0.0,149.54,0.0,0,0.0,1.54,0.2639,0,16
8.54,117.29999999999998,90.0,0.0,0.0,148.01,2.2,0,0.0,0.38,0.51,0,0
8.54,117.31999999999998,93.2,0.0,0.0,146.48,2.22,0,0.0,0.38,0.3889,0,0
8.54,117.33999999999996,48.9,0.0,0.0,144.98,2.22,0,0.0,0.38,0.3875,0,0
8.54,117.37999999999997,70.0,0.0,0.0,142.03,0.0,0,0.0,1.54,0.1431,1,18
8.54,117.39999999999996,66.5,0.0,0.0,140.58,2.2,0,0.0,0.38,0.3249,0,0
8.54,117.41999999999996,79.7,0.0,0.0,139.15,3.13,0,0.0,0.38,0.4845,0,0
8.54,117.45999999999997,75.2,0.0,0.0,136.35,3.13,0,0.0,0.38,0.4093,0,0
8.54,117.47999999999996,85.0,0.0,0.0,134.99,3.13,0,0.0,0.38,0.2002,0,0
8.559999999999999,117.26,76.4,0.0,0.0,149.54,2.22,0,0.0,0.38,0.2245,0,0
8.559999999999999,117.28,90.0,0.0,0.0,147.97,2.2,0,0.0,0.38,0.5034,0,0
8.559999999999999,117.29999999999998,70.0,0.0,0.0,146.42,0.0,0,0.0,1.54,0.1669,0,2
8.559999999999999,117.31999999999998,48.9,0.0,0.0,144.88,0.0,0,0.0,1.54,0.5047,1,23
8.559999999999999,117.33999999999996,70.0,0.0,0.0,143.36,0.0,0,0.0,1.54,0.5368,0,16
8.559999999999999,117.35999999999996,79.9,0.0,0.0,141.85,2.2,0,0.0,0.38,0.474,0,0
