lat,lon,tree_cover_2000_pct,elevation_m,slope_deg,dist_to_road_km,dist_to_deforestation_frontier_km,protected_area,population_density_per_km2,annual_loss_rate_pct,high_risk
-13.5,-63.5,65.4,192.1,1.8,1.61,35.23,0,3.7,3.27,0
-13.5,-63.45,75.0,237.6,3.4,0.12,4.96,1,9.9,2.05,0
-13.5,-63.400000000000006,79.6,259.2,0.7,14.57,4.02,1,2.3,0.69,0
-13.5,-63.35000000000001,72.4,129.5,9.5,1.16,47.27,0,19.1,2.97,0
-13.5,-63.30000000000001,82.6,178.4,8.7,21.87,138.75,0,1.5,0.96,0
-13.5,-63.250000000000014,87.0,278.2,9.8,29.28,41.74,1,3.7,0.0,0
-13.5,-63.20000000000002,72.4,195.2,2.5,10.75,23.97,0,3.9,2.08,0
-13.5,-63.15000000000002,58.4,77.7,1.6,8.54,0.12,0,10.0,1.89,0
-13.5,-63.10000000000002,84.5,299.0,11.9,48.3,9.51,0,0.3,1.55,0
-13.5,-63.050000000000026,92.0,182.9,3.9,27.09,2.8,0,4.3,1.94,0
-13.5,-63.00000000000003,64.9,287.3,1.1,8.05,48.45,1,9.1,4.59,0
-13.5,-62.95000000000003,71.6,88.4,4.6,22.41,25.68,0,0.2,0.64,0
-13.5,-62.900000000000034,92.9,190.3,0.6,32.14,54.21,0,5.0,5.38,0
-13.5,-62.85000000000004,73.6,240.8,0.3,9.62,5.32,1,35.9,0.22,0
-13.5,-62.80000000000004,91.0,193.0,11.3,15.87,19.21,1,5.4,0.0,0
-13.5,-62.75000000000004,64.5,105.4,0.1,31.49,11.81,1,0.6,0.0,0
-13.5,-62.700000000000045,56.5,50.0,0.4,22.34,2.5,1,17.3,0.0,0
-13.5,-62.65000000000005,76.6,321.9,0.5,5.44,17.59,0,39.9,2.02,1
-13.5,-62.60000000000005,80.9,219.8,0.4,5.87,35.9,1,2.1,1.9,0
-13.5,-62.550000000000054,72.5,293.3,10.0,21.45,21.72,0,11.4,0.45,0
-13.5,-62.50000000000006,87.7,274.3,3.1,11.9,54.61,0,22.6,4.15,0
-13.5,-62.45000000000006,61.1,247.7,7.0,26.44,17.87,0,5.7,1.24,0
-13.5,-62.40000000000006,84.2,174.3,5.1,20.05,5.87,0,7.2,0.58,0
-13.5,-62.350000000000065,79.9,239.2,1.9,23.9,2.66,0,0.1,1.75,0
-13.5,-62.30000000000007,82.0,314.6,8.1,15.71,21.58,1,43.2,0.0,1
-13.5,-62.25000000000007,84.4,206.6,0.7,32.25,5.34,0,10.9,3.73,0
-13.5,-62.200000000000074,49.1,352.1,7.8,13.69,50.21,0,7.4,1.46,0
-13.5,-62.15000000000008,84.9,80.0,1.4,0.91,59.73,1,1.7,1.26,0
-13.5,-62.10000000000008,70.8,71.4,0.5,7.36,26.45,1,13.5,3.18,0
-13.5,-62.05000000000008,93.2,279.0,4.1,38.46,17.05,1,1.9,0.0,0
-13.5,-62.000000000000085,63.3,134.5,16.1,3.27,0.46,1,2.9,1.71,0
-13.5,-61.95000000000009,89.9,363.5,2.0,26.47,0.37,0,1.0,0.47,0
-13.5,-61.90000000000009,59.6,307.0,0.4,9.54,34.19,0,3.5,3.31,0
-13.5,-61.850000000000094,50.6,327.0,0.4,3.89,18.23,1,1.3,0.62,0
-13.5,-61.8000000000001,82.2,270.8,1.8,2.62,31.72,1,7.2,2.73,0
-13.5,-61.7500000000001,63.2,126.3,7.2,31.2,0.84,0,14.2,1.52,1
-13.5,-61.7000000000001,50.1,67.3,4.0,29.95,3.63,0,23.1,0.24,0
-13.5,-61.650000000000105,93.4,319.6,4.5,12.57,38.87,0,8.0,3.34,0
-13.5,-61.60000000000011,71.2,80.0,7.4,14.51,16.78,0,1.7,2.84,0
-13.5,-61.55000000000011,83.9,326.8,2.8,17.69,22.15,0,5.2,1.51,0
