lat,lon,tree_cover_2000_pct,elevation_m,slope_deg,dist_to_road_km,dist_to_deforestation_frontier_km,protected_area,population_density_per_km2,annual_loss_rate_pct,exg_change_2018_2019,high_risk,loss_year
15.5,121.17999999999996,52.1,0.0,0.0,2.8,6.43,0,37.8,0.15,0.4244,0,0
15.5,121.21999999999996,93.6,0.0,0.0,3.62,2.14,0,34.8,0.15,0.213,0,0
15.5,121.23999999999997,48.2,0.0,0.0,4.05,0.0,0,33.3,0.58,0.2584,0,10
15.5,121.33999999999992,79.2,0.0,0.0,1.99,7.01,0,41.0,0.15,0.3693,0,0
15.5,121.35999999999991,63.7,0.0,0.0,3.46,7.93,0,35.4,0.15,0.3107,0,0
15.5,121.37999999999992,76.9,0.0,0.0,5.33,9.26,0,29.3,0.15,0.4279,0,0
15.5,121.39999999999992,68.1,0.0,0.0,7.36,10.86,0,24.0,0.15,0.5288,0,0
15.5,121.41999999999992,83.7,0.0,0.0,9.43,10.97,0,19.5,0.15,0.2531,0,0
15.5,121.43999999999993,69.3,0.0,0.0,11.53,9.87,0,15.8,0.15,0.2696,0,0
15.5,121.45999999999992,50.7,0.0,0.0,12.13,9.15,0,14.9,0.15,0.1876,0,0
15.5,121.4799999999999,85.7,0.0,0.0,10.75,8.9,0,17.1,0.15,0.2861,0,0
15.52,121.02,86.6,0.0,0.0,0.12,23.68,0,49.4,0.15,0.1513,0,0
15.52,121.17999999999996,47.6,0.0,0.0,1.07,6.8,0,44.9,0.15,0.448,0,0
15.52,121.19999999999996,93.6,0.0,0.0,2.69,4.83,0,38.2,0.15,0.2664,0,0
15.52,121.23999999999997,48.3,0.0,0.0,1.87,2.22,0,41.5,0.15,0.3796,0,0
15.52,121.33999999999992,63.7,0.0,0.0,2.69,4.94,0,38.2,0.15,0.2949,0,0
15.52,121.35999999999991,76.9,0.0,0.0,4.5,6.18,0,31.9,0.15,1.0451,0,0
15.52,121.37999999999992,68.1,0.0,0.0,6.51,7.82,0,26.1,0.15,0.3677,0,0
15.52,121.39999999999992,83.7,0.0,0.0,8.26,9.66,0,21.9,0.15,0.234,0,0
15.52,121.41999999999992,69.3,0.0,0.0,10.15,9.26,0,18.1,0.15,-0.3229,0,0
15.52,121.43999999999993,50.7,0.0,0.0,12.13,7.93,0,14.9,0.15,0.1457,0,0
15.52,121.45999999999992,85.7,0.0,0.0,10.65,7.01,0,17.2,0.15,-0.1175,0,0
15.52,121.4799999999999,63.4,0.0,0.0,9.05,6.67,0,20.2,0.15,0.1763,0,0
15.54,121.17999999999996,93.6,0.0,0.0,1.52,7.82,0,42.9,0.15,0.3442,0,0
15.54,121.19999999999996,48.2,0.0,0.0,0.85,6.18,0,45.9,0.15,0.6994,0,0
15.54,121.21999999999996,48.3,0.0,0.0,0.45,4.94,0,47.8,0.15,0.6105,0,0
15.54,121.29999999999994,79.2,0.0,0.0,0.29,3.09,0,48.6,0.15,0.3281,0,0
15.54,121.31999999999994,63.7,0.0,0.0,2.19,2.22,0,40.2,0.15,0.2133,0,0
15.54,121.33999999999992,76.9,0.0,0.0,4.17,3.09,0,33.0,0.15,0.174,0,0
15.54,121.35999999999991,68.1,0.0,0.0,5.78,4.83,0,28.1,0.15,0.2829,0,0
15.54,121.37999999999992,83.7,0.0,0.0,7.45,6.8,0,23.7,0.15,0.3055,0,0
15.54,121.39999999999992,69.3,0.0,0.0,9.32,8.85,0,19.7,0.15,0.2734,0,0
15.54,121.41999999999992,50.7,0.0,0.0,11.27,7.82,0,16.2,0.15,0.2103,0,0
15.54,121.43999999999993,85.7,0.0,0.0,11.42,6.18,0,16.0,0.15,0.0617,0,0
15.54,121.45999999999992,63.4,0.0,0.0,9.47,4.94,0,19.4,0.15,0.3615,0,0
15.54,121.4799999999999,62.5,0.0,0.0,7.61,4.45,0,23.4,0.15,0.3562,0,0
15.54,121.4999999999999,77.0,0.0,0.0,5.96,4.94,0,27.6,0.15,0.2054,0,0
15.56,121.06,53.8,0.0,0.0,1.06,20.41,0,45.0,0.15,-0.099,0,0
15.56,121.25999999999996,74.9,0.0,0.0,1.4,4.94,0,43.5,0.15,0.2892,0,0
15.56,121.27999999999994,79.2,0.0,0.0,2.71,4.28,0,38.1,0.15,0.3356,0,0
15.56,121.29999999999994,63.7,0.0,0.0,2.4,2.14,0,39.3,0.15,0.3234,0,0
15.56,121.31999999999994,70.0,0.0,0.0,3.36,0.0,0,35.7,0.58,-0.02,0,10
